Title,Category,Date,Location,IsIsrael,HebrewYear,HebrewMonth,HebrewDay
Sukkot III (CH''M),holiday,2014-10-11,Jerusalem,true,5775,7,17
Sukkot III (CH''M),holiday,2014-10-11,Salford,false,5775,7,17
Sukkot IV (CH''M),holiday,2014-10-12,Salford,false,5775,7,18
Sukkot IV (CH''M),holiday,2014-10-12,Jerusalem,true,5775,7,18
Sukkot V (CH''M),holiday,2014-10-13,Jerusalem,true,5775,7,19
Sukkot V (CH''M),holiday,2014-10-13,Salford,false,5775,7,19
Sukkot VI (CH''M),holiday,2014-10-14,Jerusalem,true,5775,7,20
Sukkot VI (CH''M),holiday,2014-10-14,Salford,false,5775,7,20
Sukkot VII (Hoshana Raba),holiday,2014-10-15,Salford,false,5775,7,21
Sukkot VII (Hoshana Raba),holiday,2014-10-15,Jerusalem,true,5775,7,21
Ta'anit Bechorot,fast,2015-04-03,Jerusalem,true,5775,1,14
Ta'anit Bechorot,fast,2015-04-03,Salford,false,5775,1,14
Ta'anit Esther,fast,2015-03-04,Jerusalem,true,5775,12,13
Ta'anit Esther,fast,2015-03-04,Salford,false,5775,12,13
Tish'a B'Av,fast,2017-08-01,Salford,false,5777,5,9
Tish'a B'Av,fast,2017-08-01,Jerusalem,true,5777,5,9
Tish'a B'Av (observed),fast,2015-07-26,Salford,false,5775,5,10
Tish'a B'Av (observed),fast,2015-07-26,Jerusalem,true,5775,5,10
Tu B'Av,holiday,2015-07-31,Jerusalem,true,5775,5,15
Tu B'Av,holiday,2015-07-31,Salford,false,5775,5,15
Tu BiShvat,holiday,2015-02-04,Jerusalem,true,5775,11,15
Tu BiShvat,holiday,2015-02-04,Salford,false,5775,11,15
Tzom Gedaliah,fast,2014-09-28,Salford,false,5775,7,4
Tzom Gedaliah,fast,2014-09-28,Jerusalem,true,5775,7,4
Tzom Tammuz,fast,2015-07-05,Salford,false,5775,4,18
Tzom Tammuz,fast,2015-07-05,Jerusalem,true,5775,4,18
Yitzhak Rabin Memorial Day,holiday,2014-11-05,Jerusalem,true,5775,8,12
Yom HaAliyah,holiday,2017-04-06,Salford,false,5777,1,10
Yom HaAliyah,holiday,2017-04-06,Jerusalem,true,5777,1,10
Yom HaAliyah School Observance,holiday,2016-11-08,Jerusalem,true,5777,8,7
Yom HaAtzma'ut,holiday,2015-04-23,Jerusalem,true,5775,2,4
Yom HaAtzma'ut,holiday,2015-04-23,Salford,false,5775,2,4
Yom HaShoah,holiday,2015-04-16,Jerusalem,true,5775,1,27
Yom HaShoah,holiday,2015-04-16,Salford,false,5775,1,27
Yom HaZikaron,holiday,2015-04-22,Jerusalem,true,5775,2,3
Yom HaZikaron,holiday,2015-04-22,Salford,false,5775,2,3
Yom Kippur,fast,2014-10-04,Jerusalem,true,5775,7,10
Yom Kippur,fast,2014-10-04,Salford,false,5775,7,10
Yom Yerushalayim,holiday,2015-05-17,Salford,false,5775,2,28
Yom Yerushalayim,holiday,2015-05-17,Jerusalem,true,5775,2,28
