HebCal Title,HebCal Category,Date,Location,Israel Mode,Matched Tag,Match Type,Hebrew Year
Rosh Hashana 5805,holiday,2044-09-22,Salford,false,rosh_hashana,group,5805
Rosh Hashana 5806,holiday,2045-09-12,Jerusalem,true,rosh_hashana,group,5806
Rosh Hashana 5806,holiday,2045-09-12,Salford,false,rosh_hashana,group,5806
Rosh Hashana 5807,holiday,2046-10-01,Jerusalem,true,rosh_hashana,group,5807
Rosh Hashana 5807,holiday,2046-10-01,Salford,false,rosh_hashana,group,5807
Rosh Hashana 5808,holiday,2047-09-21,Jerusalem,true,rosh_hashana,group,5808
Rosh Hashana 5808,holiday,2047-09-21,Salford,false,rosh_hashana,group,5808
Rosh Hashana 5809,holiday,2048-09-08,Jerusalem,true,rosh_hashana,group,5809
Rosh Hashana 5809,holiday,2048-09-08,Salford,false,rosh_hashana,group,5809
Rosh Hashana 5810,holiday,2049-09-27,Jerusalem,true,rosh_hashana,group,5810
Rosh Hashana 5810,holiday,2049-09-27,Salford,false,rosh_hashana,group,5810
Rosh Hashana 5811,holiday,2050-09-17,Jerusalem,true,rosh_hashana,group,5811
Rosh Hashana 5811,holiday,2050-09-17,Salford,false,rosh_hashana,group,5811
Rosh Hashana 5812,holiday,2051-09-07,Jerusalem,true,rosh_hashana,group,5812
Rosh Hashana 5812,holiday,2051-09-07,Salford,false,rosh_hashana,group,5812
Rosh Hashana 5813,holiday,2052-09-24,Jerusalem,true,rosh_hashana,group,5813
Rosh Hashana 5813,holiday,2052-09-24,Salford,false,rosh_hashana,group,5813
Rosh Hashana 5814,holiday,2053-09-13,Jerusalem,true,rosh_hashana,group,5814
Rosh Hashana 5814,holiday,2053-09-13,Salford,false,rosh_hashana,group,5814
Rosh Hashana 5815,holiday,2054-10-03,Jerusalem,true,rosh_hashana,group,5815
Rosh Hashana 5815,holiday,2054-10-03,Salford,false,rosh_hashana,group,5815
Rosh Hashana 5816,holiday,2055-09-23,Jerusalem,true,rosh_hashana,group,5816
Rosh Hashana 5816,holiday,2055-09-23,Salford,false,rosh_hashana,group,5816
Rosh Hashana 5817,holiday,2056-09-11,Jerusalem,true,rosh_hashana,group,5817
Rosh Hashana 5817,holiday,2056-09-11,Salford,false,rosh_hashana,group,5817
Rosh Hashana 5818,holiday,2057-09-29,Jerusalem,true,rosh_hashana,group,5818
Rosh Hashana 5818,holiday,2057-09-29,Salford,false,rosh_hashana,group,5818
Rosh Hashana 5819,holiday,2058-09-19,Jerusalem,true,rosh_hashana,group,5819
